cuda available: True
[INFO] loading the paired desmoke image dataset...
[INFO] paired desmoke image dataset loaded...
Epoch [1/1000], loss: 0.0482
Epoch [2/1000], loss: 0.0115
Epoch [3/1000], loss: 0.0081
Epoch [4/1000], loss: 0.0061
Epoch [5/1000], loss: 0.0048
Epoch [6/1000], loss: 0.0040
Epoch [7/1000], loss: 0.0035
Epoch [8/1000], loss: 0.0031
Epoch [9/1000], loss: 0.0028
Epoch [10/1000], loss: 0.0026
Epoch [11/1000], loss: 0.0024
Epoch [12/1000], loss: 0.0022
Epoch [13/1000], loss: 0.0021
Epoch [14/1000], loss: 0.0020
Epoch [15/1000], loss: 0.0020
Epoch [16/1000], loss: 0.0018
Epoch [17/1000], loss: 0.0018
Epoch [18/1000], loss: 0.0017
Epoch [19/1000], loss: 0.0017
Epoch [20/1000], loss: 0.0017
Epoch [21/1000], loss: 0.0015
Epoch [22/1000], loss: 0.0015
Epoch [23/1000], loss: 0.0015
Epoch [24/1000], loss: 0.0014
Epoch [25/1000], loss: 0.0014
Epoch [26/1000], loss: 0.0014
Epoch [27/1000], loss: 0.0013
Epoch [28/1000], loss: 0.0013
Epoch [29/1000], loss: 0.0013
Epoch [30/1000], loss: 0.0012
Epoch [31/1000], loss: 0.0012
Epoch [32/1000], loss: 0.0012
Epoch [33/1000], loss: 0.0012
Epoch [34/1000], loss: 0.0012
Epoch [35/1000], loss: 0.0011
Epoch [36/1000], loss: 0.0011
Epoch [37/1000], loss: 0.0011
Epoch [38/1000], loss: 0.0011
Epoch [39/1000], loss: 0.0011
Epoch [40/1000], loss: 0.0011
Epoch [41/1000], loss: 0.0011
Epoch [42/1000], loss: 0.0010
Epoch [43/1000], loss: 0.0010
Epoch [44/1000], loss: 0.0011
Epoch [45/1000], loss: 0.0010
Epoch [46/1000], loss: 0.0009
Epoch [47/1000], loss: 0.0009
Epoch [48/1000], loss: 0.0010
Epoch [49/1000], loss: 0.0009
Epoch [50/1000], loss: 0.0009
Epoch [51/1000], loss: 0.0009
Epoch [52/1000], loss: 0.0009
Epoch [53/1000], loss: 0.0009
Epoch [54/1000], loss: 0.0009
Epoch [55/1000], loss: 0.0008
Epoch [56/1000], loss: 0.0009
Epoch [57/1000], loss: 0.0008
Epoch [58/1000], loss: 0.0008
Epoch [59/1000], loss: 0.0008
Epoch [60/1000], loss: 0.0008
Epoch [61/1000], loss: 0.0008
Epoch [62/1000], loss: 0.0008
Epoch [63/1000], loss: 0.0008
Epoch [64/1000], loss: 0.0008
Epoch [65/1000], loss: 0.0008
Epoch [66/1000], loss: 0.0008
Epoch [67/1000], loss: 0.0007
Epoch [68/1000], loss: 0.0008
Epoch [69/1000], loss: 0.0007
Epoch [70/1000], loss: 0.0007
Epoch [71/1000], loss: 0.0007
Epoch [72/1000], loss: 0.0007
